,Title,Company,Location,Post_Date,URL,Current Status,Source,Description
409,Public Relations Associate,Mintel,"Chicago, IL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=066d4cdbfffdf390,NaN,indeed,1.0
410,"Faculty Member, Investigative Journalism (Open Rank)",Northwestern University,"Evanston, IL",2018-10-25 17:38:43,https://www.indeed.com/viewjob?jk=fc397163cd1c45d2,NaN,indeed,NaN
411,Public Relations Manager,Displate,"Austin, TX 78716",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2cced2f685f6e3ac,NaN,indeed,NaN
412,"Reporter/Multimedia Journalist (El Dorado, AR)",Nexstar Broadcasting,"West Monroe, LA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=2d8bca30d1cbe22a,NaN,indeed,NaN
413,Senior PR Specialist,Esri,"Redlands, CA",2018-11-03 17:38:43,https://www.indeed.com/viewjob?jk=4b3a311f1a15c393,NaN,indeed,NaN
414,2018 Student Worker - Lions Pride,Saint Leo University,"Saint Leo, FL",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=aa433c97b034ac51,NaN,indeed,NaN
415,Lead Public Affairs Specialist/Journalist,Alaka`ina Foundation Family of Companies,"Falls Church, VA",2018-10-15 17:38:45,https://www.indeed.com/viewjob?jk=0a8d0cb0a2255efd,NaN,indeed,NaN
416,Director,University of Maryland,"College Park, MD",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=0ea2fcc55e9dd618,NaN,indeed,NaN
417,Media Relations Officer,Institute for Health Metrics and Evaluation - Facu...,"Seattle, WA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=c0734efd12d38544,NaN,indeed,NaN
418,"Communications Specialist, Google Cloud",Google,"Sunnyvale, CA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=89ebcdb238f694e6,NaN,indeed,1.0
419,Content & Communications Manager,GWC Warranty,"Wilkes-Barre, PA",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=f5a0cb7e3ced736e,NaN,indeed,1.0
420,"PROGRAM COORDINATOR, THE REAL CHI",Free Spirit Media,"Chicago, IL 60624 (West Garfield Park area)",an unknown date more than 30 days ago,https://www.indeed.com/viewjob?jk=e6b7158abd434441,NaN,indeed,NaN
421,Communications Lead - Pharma/BioPharm,ICF,"Los Angeles, CA",2018-10-31 17:38:47,https://www.indeed.com/viewjob?jk=88d98253a3972f51,NaN,indeed,NaN
